id,day,quarter,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0cda9,2019-05-02,06-12,8.0,18.0,8,18.0,12.0,39.0,26.0,39.0
0cda9,2019-05-02,12-18,2.0,6.0,1,8.0,9.0,23.0,18.0,24.0
0cda9,2019-05-02,18-24,2.0,3.0,7,6.0,3.0,26.0,27.0,27.0
0cda9,2019-05-03,00-06,0.0,1.0,19,21.0,0.0,13.0,12.0,13.0
0cda9,2019-05-03,06-12,6.0,25.0,6,7.0,11.0,32.0,12.0,18.0
0cda9,2019-05-03,12-18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0cda9,2019-05-03,18-24,6.0,2.0,3,2.0,4.0,14.0,9.0,6.0
0cda9,2019-05-04,00-06,0.0,7.0,11,6.0,0.0,7.0,5.0,6.0
0cda9,2019-05-04,06-12,8.0,17.0,10,32.0,4.0,36.0,25.0,27.0
0cda9,2019-05-04,12-18,0.0,3.0,6,16.0,6.0,20.0,19.0,25.0
0cda9,2019-05-04,18-24,6.0,5.0,7,16.0,8.0,31.0,25.0,26.0
0cda9,2019-05-05,00-06,0.0,1.0,11,16.0,0.0,12.0,9.0,6.0
0cda9,2019-05-05,06-12,4.0,13.0,9,24.0,7.0,31.0,20.0,38.0
0cda9,2019-05-05,12-18,2.0,5.0,0,36.0,6.0,27.0,22.0,30.0
0cda9,2019-05-05,18-24,2.0,7.0,7,10.0,0.0,15.0,10.0,19.0
0cda9,2019-05-06,00-06,0.0,0.0,7,14.0,0.0,12.0,10.0,10.0
0cda9,2019-05-06,06-12,4.0,12.0,6,28.0,12.0,36.0,26.0,41.0
0cda9,2019-05-06,12-18,0.0,2.0,0,2.0,6.0,17.0,12.0,16.0
0cda9,2019-05-06,18-24,6.0,6.0,6,18.0,0.0,25.0,23.0,23.0
0cda9,2019-05-07,00-06,0.0,0.0,11,12.0,0.0,9.0,7.0,4.0
0cda9,2019-05-07,06-12,2.0,24.0,10,28.0,8.0,48.0,29.0,31.0
0cda9,2019-05-07,12-18,6.0,8.0,4,16.0,14.0,43.0,28.0,50.0
0cda9,2019-05-07,18-24,2.0,12.0,5,30.0,8.0,41.0,22.0,38.0
0cda9,2019-05-08,00-06,0.0,5.0,9,18.0,4.0,19.0,17.0,4.0
