id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-05-31,0,0.0,0.0,0.0,3.0,2.0
16f4b,2019-05-31,1,1.0,0.0,0.0,6.0,3.0
16f4b,2019-05-31,7,0.0,0.0,0.0,2.0,3.0
16f4b,2019-05-31,8,0.0,0.0,2.0,10.0,10.0
16f4b,2019-05-31,9,1.0,0.0,2.0,2.0,1.0
16f4b,2019-05-31,10,10.0,0.0,10.0,17.0,16.0
16f4b,2019-05-31,11,3.0,0.0,2.0,7.0,14.0
16f4b,2019-05-31,12,2.0,0.0,6.0,12.0,7.0
16f4b,2019-05-31,13,10.0,0.0,6.0,11.0,5.0
16f4b,2019-05-31,14,9.0,0.0,0.0,11.0,6.0
16f4b,2019-05-31,15,7.0,0.0,2.0,7.0,6.0
16f4b,2019-05-31,16,8.0,0.0,0.0,7.0,6.0
16f4b,2019-05-31,17,1.0,0.0,6.0,2.0,0.0
16f4b,2019-05-31,18,3.0,0.0,2.0,10.0,6.0
16f4b,2019-05-31,19,0.0,0.0,0.0,1.0,1.0
16f4b,2019-05-31,20,4.0,0.0,0.0,10.0,12.0
16f4b,2019-05-31,21,8.0,0.0,4.0,6.0,8.0
16f4b,2019-05-31,23,6.0,0.0,0.0,9.0,5.0
16f4b,2019-06-01,0,1.0,0.0,2.0,5.0,1.0
16f4b,2019-06-01,2,0.0,0.0,0.0,1.0,2.0
16f4b,2019-06-01,8,2.0,0.0,2.0,6.0,11.0
16f4b,2019-06-01,9,4.0,0.0,2.0,5.0,5.0
16f4b,2019-06-01,10,13.0,0.0,12.0,24.0,24.0
16f4b,2019-06-01,11,11.0,0.0,2.0,18.0,17.0
16f4b,2019-06-01,12,4.0,0.0,10.0,15.0,9.0
16f4b,2019-06-01,13,3.0,0.0,2.0,3.0,2.0
16f4b,2019-06-01,14,1.0,0.0,0.0,1.0,3.0
16f4b,2019-06-01,15,5.0,0.0,0.0,5.0,1.0
16f4b,2019-06-01,16,3.0,0.0,0.0,4.0,2.0
16f4b,2019-06-01,17,4.0,0.0,2.0,6.0,8.0
16f4b,2019-06-01,18,4.0,0.0,0.0,5.0,6.0
16f4b,2019-06-01,19,2.0,0.0,0.0,5.0,5.0
16f4b,2019-06-01,20,5.0,0.0,2.0,14.0,9.0
16f4b,2019-06-01,21,2.0,0.0,2.0,11.0,6.0
16f4b,2019-06-01,22,0.0,0.0,0.0,2.0,2.0
16f4b,2019-06-01,23,0.0,0.0,0.0,1.0,2.0
16f4b,2019-06-02,0,0.0,0.0,0.0,4.0,6.0
16f4b,2019-06-02,2,5.0,0.0,0.0,3.0,2.0
16f4b,2019-06-02,7,1.0,0.0,0.0,1.0,0.0
16f4b,2019-06-02,8,3.0,0.0,2.0,7.0,8.0
16f4b,2019-06-02,9,5.0,0.0,2.0,6.0,11.0
16f4b,2019-06-02,10,8.0,0.0,4.0,12.0,7.0
16f4b,2019-06-02,11,3.0,0.0,0.0,5.0,7.0
16f4b,2019-06-02,12,7.0,0.0,0.0,6.0,8.0
16f4b,2019-06-02,13,12.0,0.0,2.0,4.0,7.0
16f4b,2019-06-02,14,4.0,0.0,0.0,12.0,14.0
16f4b,2019-06-02,15,1.0,0.0,0.0,3.0,3.0
16f4b,2019-06-02,16,5.0,0.0,0.0,6.0,4.0
16f4b,2019-06-02,17,3.0,0.0,0.0,5.0,1.0
16f4b,2019-06-02,18,0.0,0.0,0.0,4.0,6.0
16f4b,2019-06-02,19,8.0,0.0,0.0,14.0,8.0
16f4b,2019-06-02,20,9.0,0.0,4.0,7.0,9.0
16f4b,2019-06-02,21,2.0,0.0,0.0,11.0,15.0
16f4b,2019-06-02,22,0.0,0.0,8.0,6.0,6.0
16f4b,2019-06-02,23,4.0,0.0,2.0,7.0,8.0
16f4b,2019-06-03,0,3.0,0.0,0.0,3.0,1.0
16f4b,2019-06-03,1,0.0,0.0,0.0,2.0,6.0
